qa_status,readiness_score,recommended_action,name,current_brand,proposed_brand,sku,ean,price_czk,current_category,proposed_category,category_confidence,current_form,proposed_form,form_confidence,active_ingredients_suggested,target_groups_suggested,diet_flags_suggested,critical_issues,warnings,vitar_url,nasevitaminy_url,cross_source_recoverable_fields,url
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Pomeranč 0,2 l",Capri-Sun,Capri-Sun,40000002,4000177407400,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,,,missing_need_states,https://www.vitar.cz/capri-sun-pomeranc-0-2-l/,https://www.nasevitaminy.cz/capri-sun-pomeranc-0-2-l,,https://www.nasevitaminy.cz/capri-sun-pomeranc-0-2-l
ready,96,keep_as_drinks_portfolio_review,"Capri-Sun Safari Fruits 0,2 l",Capri-Sun,Capri-Sun,40000012,4000177407608,13.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Nápoj,Nápoj,high,,,,,missing_need_states,https://www.vitar.cz/capri-sun-safari-fruits-0-2-l/,https://www.nasevitaminy.cz/capri-sun-safari-fruits-0-2-l,,https://www.nasevitaminy.cz/capri-sun-safari-fruits-0-2-l
ready,89,keep_as_drinks_portfolio_review,Capri-Sun Višeň + granátové jablko,Capri-Sun,Capri-Sun,50600044,4000177172629,31.5,Nápoje a pitný režim,Nápoje a pitný režim,medium,Neurčeno,Nápoj,medium,,,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/capri-sun-visen-and-granatove-jablko-0-33-l/,https://www.nasevitaminy.cz/capri-sun-visen-granatove-jablko-0-33-l,form,https://www.nasevitaminy.cz/capri-sun-visen-granatove-jablko-0-33-l
blocked,58,exclude_from_main_or_accessories,Capri-Sun láhev,Capri-Sun,Capri-Sun,39005057,3900505700000,169.0,Nápoje a pitný režim,Doplňky a merchandising,medium,Neurčeno,Doplněk / merchandising,medium,,,,exclude_from_main_or_accessories,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/capri-sun-lahev,,https://www.nasevitaminy.cz/capri-sun-lahev
blocked,58,exclude_from_main_or_accessories,Capri-Sun taška,Capri-Sun,Capri-Sun,39005029,3900502900000,199.0,Nápoje a pitný režim,Doplňky a merchandising,medium,Neurčeno,Doplněk / merchandising,medium,,,,exclude_from_main_or_accessories,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/capri-sun-taska,,https://www.nasevitaminy.cz/capri-sun-taska
blocked,58,exclude_from_main_or_accessories,Capri-Sun osuška,Capri-Sun,Capri-Sun,39000011,3900001100000,399.0,Zrak,Doplňky a merchandising,medium,Neurčeno,Doplněk / merchandising,medium,,,,exclude_from_main_or_accessories,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/capri-sun-osuska,,https://www.nasevitaminy.cz/capri-sun-osuska
ready,93,keep_in_main_pim,Energit Pro děti,Energit,Energit,42100606,8595011124217,51.9,Děti,Děti,high,Neurčeno,Tablety,medium,,děti,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/energit-pro-deti/,https://www.nasevitaminy.cz/energit-pro-deti,form,https://www.nasevitaminy.cz/energit-pro-deti
ready,96,keep_in_main_pim,Energit Coffee,Energit,Energit,42100609,8595011147186,51.9,"Energie, stres, spánek","Energie, stres, spánek",medium,Tablety,Tablety,high,,,,,missing_need_states,https://www.vitar.cz/energit-coffee/,https://www.nasevitaminy.cz/energit-coffee-kofein-42-tbl,,https://www.nasevitaminy.cz/energit-coffee-kofein-42-tbl
review,72,keep_in_main_pim,Energit Hroznový cukr multivitamin,Energit,Energit,00000012,,,"Energie, stres, spánek",Imunita a nachlazení,medium,Tablety,Tablety,high,,,,,"missing_ean, missing_price, category_recommended_change, missing_need_states",https://www.vitar.cz/energit-hroznovy-cukr-multivitamin/,,,https://www.vitar.cz/energit-hroznovy-cukr-multivitamin/
review,83,keep_in_main_pim,Energit Hroznový cukr multivitamin - citron,Energit,Energit,50000003,8586015310492,18.9,"Energie, stres, spánek",Imunita a nachlazení,medium,Neurčeno,Tablety,medium,,,,,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-pomeranc,,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-pomeranc
review,83,keep_in_main_pim,Energit Hroznový cukr multivitamin - jahoda,Energit,Energit,50000002,8586015310508,18.9,"Energie, stres, spánek",Imunita a nachlazení,medium,Neurčeno,Tablety,medium,,,,,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-jahoda,,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-jahoda
review,83,keep_in_main_pim,Energit Hroznový cukr multivitamin - třešeň,Energit,Energit,50000006,8586015310256,18.9,"Energie, stres, spánek",Imunita a nachlazení,medium,Neurčeno,Tablety,medium,,,,,"form_inferred_needs_check, category_recommended_change, missing_need_states",,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-tresen,,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-tresen
ready,89,keep_in_main_pim,Energit Pro řidiče,Energit,Energit,42100605,8595011124279,51.9,"Energie, stres, spánek","Energie, stres, spánek",medium,Neurčeno,Tablety,medium,,,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/energit-pro-ridice/,https://www.nasevitaminy.cz/energit-pro-ridice,form,https://www.nasevitaminy.cz/energit-pro-ridice
ready,89,keep_in_main_pim,Energit Dextróza sport,Energit,Energit,50000007,8595011143638,18.9,Hořčík a minerály,Hořčík a minerály,medium,Neurčeno,Tablety,medium,hořčík,sport,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/energit-dextroza-sport-magnezium-b6/,https://www.nasevitaminy.cz/energit-dextroza-sport-magnezium-b6,form,https://www.nasevitaminy.cz/energit-dextroza-sport-magnezium-b6
ready,93,keep_in_main_pim,Energit Magnézium,Energit,Energit,42100608,8595011129083,51.9,Hořčík a minerály,Hořčík a minerály,high,Neurčeno,Tablety,medium,hořčík,,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/energit-magnezium/,https://www.nasevitaminy.cz/energit-magnezium,form,https://www.nasevitaminy.cz/energit-magnezium
ready,91,keep_in_main_pim,Energit Hroznový cukr multivitamin - citron,Energit,Energit,50000001,8586015310515,18.9,Imunita a nachlazení,Imunita a nachlazení,medium,Neurčeno,Tablety,medium,vitamin C,,,,"form_inferred_needs_check, missing_need_states",,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-citron,,https://www.nasevitaminy.cz/energit-hroznovy-cukr-multivitamin-citron
ready,93,keep_in_main_pim,Energit Imunita,Energit,Energit,42100603,8595011124187,51.9,Imunita a nachlazení,Imunita a nachlazení,medium,Neurčeno,Tablety,medium,,,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/energit-imunita/,https://www.nasevitaminy.cz/energit-imunita,form,https://www.nasevitaminy.cz/energit-imunita
ready,89,keep_in_main_pim,Energit Multivitamin,Energit,Energit,42100601,8595011124248,51.9,Imunita a nachlazení,Imunita a nachlazení,medium,Neurčeno,Tablety,medium,rakytník,,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/energit-multivitamin/,https://www.nasevitaminy.cz/energit-multivitamin,form,https://www.nasevitaminy.cz/energit-multivitamin
ready,96,keep_in_main_pim,Energit Zázvor,Energit,Energit,42100610,8595011147209,51.9,Imunita a nachlazení,Imunita a nachlazení,medium,Tablety,Tablety,high,,,,,missing_need_states,https://www.vitar.cz/energit-zazvor/,https://www.nasevitaminy.cz/energit-zazvor-lisejnik-42-tbl,,https://www.nasevitaminy.cz/energit-zazvor-lisejnik-42-tbl
ready,89,keep_in_main_pim,Energit Vitamin D3 + acerola,Energit,Energit,42100611,8595011141573,51.9,Močové cesty,Močové cesty,medium,Neurčeno,Tablety,medium,"vitamin C, vitamin D3, brusinky",,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/energit-vitamin-d3-acerola/,https://www.nasevitaminy.cz/energit-vitamin-d3-acerola,form,https://www.nasevitaminy.cz/energit-vitamin-d3-acerola
ready,89,keep_in_main_pim,Energit Pro oči,Energit,Energit,42100604,8595011124309,51.9,Zrak,Zrak,high,Neurčeno,Tablety,medium,,,,,"form_inferred_needs_check, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/energit-pro-oci/,https://www.nasevitaminy.cz/energit-pro-oci,form,https://www.nasevitaminy.cz/energit-pro-oci
ready,96,keep_in_main_pim,Irbis Aspartam (220 tbl.),Irbis,Irbis,46000004,0000085906488,75.0,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,missing_need_states,,https://www.nasevitaminy.cz/irbis-aspartam-220-tbl,,https://www.nasevitaminy.cz/irbis-aspartam-220-tbl
ready,96,keep_in_main_pim,Irbis Aspartam - dávkovač (110 tbl.),Irbis,Irbis,46000018,8595011134001,43.0,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,missing_need_states,,https://www.nasevitaminy.cz/irbis-aspartam-davkovac-110-tbl,,https://www.nasevitaminy.cz/irbis-aspartam-davkovac-110-tbl
review,80,keep_in_main_pim,Irbis Aspartam - tablety,Irbis,Irbis,00000017,,,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,"missing_ean, missing_price, missing_need_states",https://www.vitar.cz/irbis-aspartam-tablety/,,,https://www.vitar.cz/irbis-aspartam-tablety/
ready,96,keep_in_main_pim,Irbis Aspartam Big Sweet 10x sladší (sypká směs),Irbis,Irbis,46000002,8594002799205,106.0,Sladidla,Sladidla,high,Prášek / sypká směs,Prášek / sypká směs,high,,,,,missing_need_states,https://www.vitar.cz/irbis-big-sweet-10x-sladsi/,https://www.nasevitaminy.cz/irbis-aspartam-big-sweet-10x-sladsi-sypka-smes,,https://www.nasevitaminy.cz/irbis-aspartam-big-sweet-10x-sladsi-sypka-smes
ready,96,keep_in_main_pim,Irbis Aspartam Sweet 3x sladší (sypká směs),Irbis,Irbis,46000001,8594002790226,92.0,Sladidla,Sladidla,high,Prášek / sypká směs,Prášek / sypká směs,high,,,,,missing_need_states,https://www.vitar.cz/irbis-aspartam-sweet-3x-sladsi/,https://www.nasevitaminy.cz/irbis-aspartam-sweet-3x-sladsi-sypka-smes,,https://www.nasevitaminy.cz/irbis-aspartam-sweet-3x-sladsi-sypka-smes
ready,96,keep_in_main_pim,Irbis Sukralóza s chromem - tablety,Irbis,Irbis,46000016,8595011131994,47.0,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,missing_need_states,https://www.vitar.cz/irbis-sukraloza-s-chromem-davkovac-110-tbl/,https://www.nasevitaminy.cz/irbis-sukraloza-s-chromem-davkovac-110-tbl,,https://www.nasevitaminy.cz/irbis-sukraloza-s-chromem-davkovac-110-tbl
ready,96,keep_in_main_pim,Irbis se sladidly z rostliny stévie (220 tbl.),Irbis,Irbis,46000011,8595011128697,98.0,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,missing_need_states,,https://www.nasevitaminy.cz/irbis-se-sladidly-z-rostliny-stevie-220-tbl,,https://www.nasevitaminy.cz/irbis-se-sladidly-z-rostliny-stevie-220-tbl
ready,96,keep_in_main_pim,Irbis se sladidly z rostliny stévie (sypká směs),Irbis,Irbis,46000014,8595011128239,110.0,Sladidla,Sladidla,high,Prášek / sypká směs,Prášek / sypká směs,high,,,,,missing_need_states,https://www.vitar.cz/irbis-stevie-sypke-sladidlo-250-g/,https://www.nasevitaminy.cz/irbis-se-sladidly-z-rostliny-stevie-sypka-smes,,https://www.nasevitaminy.cz/irbis-se-sladidly-z-rostliny-stevie-sypka-smes
ready,96,keep_in_main_pim,Irbis se sladidly z rostliny stévie - dávkovač (110 tbl.),Irbis,Irbis,46000017,8595011132021,77.0,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,missing_need_states,,https://www.nasevitaminy.cz/irbis-se-sladidly-z-rostliny-stevie-davkovac-110-tbl,,https://www.nasevitaminy.cz/irbis-se-sladidly-z-rostliny-stevie-davkovac-110-tbl
review,80,keep_in_main_pim,Irbis se sladidly z rostliny stévie - tablety,Irbis,Irbis,00000019,,,Sladidla,Sladidla,high,Tablety,Tablety,high,,,,,"missing_ean, missing_price, missing_need_states",https://www.vitar.cz/irbis-stevie-tablety/,,,https://www.vitar.cz/irbis-stevie-tablety/
ready,100,keep_in_main_pim,Maxi Vita Herbal Bylinný elixír Posílení imunity pro děti,Maxi Vita,Maxi Vita,43800010,8595011134902,77.9,Děti,Děti,high,Sirup / elixír,Sirup / elixír,high,rakytník,děti,,,,https://www.vitar.cz/maxivita-herbal-bylinny-elixir-posileni-imunity-pro-deti/,https://www.nasevitaminy.cz/maxi-vita-herbal-bylinny-elixir-posileni-imunity-pro-deti,,https://www.nasevitaminy.cz/maxi-vita-herbal-bylinny-elixir-posileni-imunity-pro-deti
review,81,keep_in_main_pim,Maxi Vita Kids Multivitamin + kolostrum,Maxi Vita,Maxi Vita,44000006,8595011125856,108.9,Děti,Imunita a nachlazení,medium,Neurčeno,Tablety,medium,,děti,,,"form_inferred_needs_check, category_recommended_change, missing_need_states, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-kids-multivitamin-kolostrum/,https://www.nasevitaminy.cz/maxi-vita-kids-multivitamin-kolostrum,form,https://www.nasevitaminy.cz/maxi-vita-kids-multivitamin-kolostrum
ready,93,keep_in_main_pim,Maxi Vita Kids Omega 3 + vitaminy D a E,Maxi Vita,Maxi Vita,42300019,8595011124903,141.9,Děti,Děti,medium,Neurčeno,Tablety,medium,omega-3,děti,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-kids-omega-3-vitaminy-d-a-e/,https://www.nasevitaminy.cz/maxi-vita-kids-omega-3-vitaminy-d-a-e,form,https://www.nasevitaminy.cz/maxi-vita-kids-omega-3-vitaminy-d-a-e
ready,100,keep_in_main_pim,Maxi Vita Kids Probiotika,Maxi Vita,Maxi Vita,44000002,8595011147247,116.9,Děti,Děti,medium,Stick pack,Stick pack,high,probiotika,děti,eko/natural,,,https://www.vitar.cz/maxi-vita-kids-probiotika/,https://www.nasevitaminy.cz/maxi-vita-kids-probiotika-16-stick,,https://www.nasevitaminy.cz/maxi-vita-kids-probiotika-16-stick
ready,92,keep_in_main_pim,Maxi Vita Exclusive Magnézium - šumivé tablety,Maxi Vita,Maxi Vita,41300103,8595011131512,64.9,Hořčík a minerály,"Energie, stres, spánek",medium,Šumivé tablety,Šumivé tablety,high,hořčík,,,,category_recommended_change,https://www.vitar.cz/maxivita-exclusive-magnezium/,https://www.nasevitaminy.cz/maxi-vita-exclusive-magnezium,,https://www.nasevitaminy.cz/maxi-vita-exclusive-magnezium
review,83,keep_in_main_pim,Maxi Vita Exclusive Magnézium forte+,Maxi Vita,Maxi Vita,42300068,8595011128987,129.9,Hořčík a minerály,Hořčík a minerály,high,Neurčeno,Neurčeno,low,hořčík,,,,"missing_form, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-exclusive-magnezium-forte/,https://www.nasevitaminy.cz/maxi-vita-exclusive-magnezium-forte,form,https://www.nasevitaminy.cz/maxi-vita-exclusive-magnezium-forte
review,83,keep_in_main_pim,Maxi Vita Exclusive Vápník–hořčík–zinek forte+,Maxi Vita,Maxi Vita,42300067,8595011128956,108.9,Hořčík a minerály,Hořčík a minerály,medium,Neurčeno,Neurčeno,low,"hořčík, zinek, vápník",,eko/natural,,"missing_form, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-exclusive-vapnik-horcik-zinek-forte/,https://www.nasevitaminy.cz/maxi-vita-exclusive-vapnik-horcik-zinek-forte,form,https://www.nasevitaminy.cz/maxi-vita-exclusive-vapnik-horcik-zinek-forte
review,83,keep_in_main_pim,Maxi Vita Hořčík + B6,Maxi Vita,Maxi Vita,42300013,8595011114799,59.9,Hořčík a minerály,Hořčík a minerály,high,Neurčeno,Neurčeno,low,hořčík,,,,"missing_form, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-horcik-b6-1770/,https://www.nasevitaminy.cz/maxi-vita-horcik-b6-2,form,https://www.nasevitaminy.cz/maxi-vita-horcik-b6-2
ready,92,keep_in_main_pim,"Maxi Vita Hořčík + vitaminy B6, B12 a biotin | Volba spotřebitelů - Nejlepší novinka 2025",Maxi Vita,Maxi Vita,41300069,8595011147711,44.9,Hořčík a minerály,"Energie, stres, spánek",medium,Šumivé tablety,Šumivé tablety,high,hořčík,,"bez cukru, eko/natural",,category_recommended_change,https://www.vitar.cz/maxivita-horcik-b6/,https://www.nasevitaminy.cz/maxi-vita-magnesium-20-eff-tbl,,https://www.nasevitaminy.cz/maxi-vita-magnesium-20-eff-tbl
ready,88,keep_in_main_pim,Maxi Vita Kids Multivitamin Bob a Bobek,Maxi Vita,Maxi Vita,41300072,8595011147773,44.9,Hořčík a minerály,"Energie, stres, spánek",medium,Šumivé tablety,Šumivé tablety,high,vápník,děti,bez cukru,,"category_recommended_change, missing_need_states",https://www.vitar.cz/maxivita-kids-multivitamin/,https://www.nasevitaminy.cz/maxi-vita-multivit-kids-bob-a-bobek-20-eff-tbl,,https://www.nasevitaminy.cz/maxi-vita-multivit-kids-bob-a-bobek-20-eff-tbl
review,83,keep_in_main_pim,Maxi Vita Kids Multivitamin želé,Maxi Vita,Maxi Vita,44000004,8595011121230,112.9,Hořčík a minerály,Imunita a nachlazení,medium,Neurčeno,Tablety,medium,,děti,,,"form_inferred_needs_check, category_recommended_change, missing_need_states",https://www.vitar.cz/maxivita-kids-multivitamin-zele/,https://www.nasevitaminy.cz/maxi-vita-kids-multivitamin-zele,,https://www.nasevitaminy.cz/maxi-vita-kids-multivitamin-zele
ready,85,keep_in_main_pim,Maxi Vita Magnézium 400 mg + B komplex + vitamin C,Maxi Vita,Maxi Vita,43200307,8595011143157,77.9,Hořčík a minerály,"Energie, stres, spánek",medium,Neurčeno,Prášek / sypká směs,medium,"vitamin C, hořčík",,,,"form_inferred_needs_check, category_recommended_change, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-magnezium-400-mg-b-komplex-vitamin-c/,https://www.nasevitaminy.cz/maxi-vita-magnezium-400-mg-b-komplex-vitamin-c,form,https://www.nasevitaminy.cz/maxi-vita-magnezium-400-mg-b-komplex-vitamin-c
ready,93,keep_in_main_pim,Maxi Vita Premium Magnézium + aminokyseliny,Maxi Vita,Maxi Vita,43200312,8595011144826,87.9,Hořčík a minerály,Hořčík a minerály,high,Neurčeno,Prášek / sypká směs,medium,hořčík,,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/maxi-vita-premium-magnezium-aminokyseliny/,https://www.nasevitaminy.cz/maxi-vita-premium-magnezium-aminokyseliny,form,https://www.nasevitaminy.cz/maxi-vita-premium-magnezium-aminokyseliny
ready,96,keep_in_main_pim,Maxi Vita Premium Magnézium+B6,Maxi Vita,Maxi Vita,41300110,8595011143591,39.9,Hořčík a minerály,Hořčík a minerály,medium,Šumivé tablety,Šumivé tablety,high,hořčík,,,,missing_need_states,,https://www.nasevitaminy.cz/maxi-vita-premium-magnezium-b6-20-eff-tbl,,https://www.nasevitaminy.cz/maxi-vita-premium-magnezium-b6-20-eff-tbl
review,83,keep_in_main_pim,Maxi Vita Selen + zinek + vitamin C a E,Maxi Vita,Maxi Vita,42300022,8595011133011,64.9,Hořčík a minerály,Hořčík a minerály,high,Neurčeno,Neurčeno,low,"vitamin C, zinek",,,,"missing_form, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-selen-zinek-vitamin-c-a-e/,https://www.nasevitaminy.cz/maxi-vita-selen-zinek-vitamin-c-a-e,form,https://www.nasevitaminy.cz/maxi-vita-selen-zinek-vitamin-c-a-e
ready,100,keep_in_main_pim,Maxi Vita Vitamin C + zinek + šípek | Volba spotřebitelů - Nejlepší novinka 2025,Maxi Vita,Maxi Vita,41300067,8595011147674,44.9,Hořčík a minerály,Hořčík a minerály,medium,Šumivé tablety,Šumivé tablety,high,"vitamin C, zinek",,bez cukru,,,https://www.vitar.cz/maxivita-vitamin-c-zinek-sipek/,https://www.nasevitaminy.cz/maxi-vita-vitamin-c-20-eff-tbl,,https://www.nasevitaminy.cz/maxi-vita-vitamin-c-20-eff-tbl
review,83,keep_in_main_pim,Maxi Vita Vitamin D3 1000 IU,Maxi Vita,Maxi Vita,42300074,8595011134889,76.9,Hořčík a minerály,Hořčík a minerály,medium,Neurčeno,Neurčeno,low,"vápník, vitamin D3","děti, sport",,,"missing_form, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-vitamin-d3-1000-iu/,https://www.nasevitaminy.cz/maxi-vita-vitamin-d3-1000-iu,form,https://www.nasevitaminy.cz/maxi-vita-vitamin-d3-1000-iu
review,83,keep_in_main_pim,Maxi Vita Vitamin D3 800 IU,Maxi Vita,Maxi Vita,42300094,8595011141436,76.9,Hořčík a minerály,Hořčík a minerály,medium,Neurčeno,Neurčeno,low,"vápník, vitamin D3","děti, sport",,,"missing_form, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-vitamin-d3-800-iu/,https://www.nasevitaminy.cz/maxi-vita-vitamin-d3-800-iu,form,https://www.nasevitaminy.cz/maxi-vita-vitamin-d3-800-iu
ready,93,keep_in_main_pim,Maxi Vita Vitamin K2 + D3,Maxi Vita,Maxi Vita,42300075,8595011145038,149.9,Hořčík a minerály,Hořčík a minerály,medium,Neurčeno,Tablety,medium,"vápník, vitamin D3, vitamin K2",děti,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/maxi-vita-exclusive-vitamin-k2-d3-forte/,https://www.nasevitaminy.cz/maxi-vita-exclusive-vitamin-k2-d3-forte,form,https://www.nasevitaminy.cz/maxi-vita-exclusive-vitamin-k2-d3-forte
ready,96,keep_in_main_pim,Maxi Vita Vápník + D3 + K1,Maxi Vita,Maxi Vita,41300070,8595011147735,44.9,Hořčík a minerály,Hořčík a minerály,medium,Šumivé tablety,Šumivé tablety,high,"vápník, vitamin D3",,bez cukru,,missing_need_states,https://www.vitar.cz/maxivita-vapnik-vitamin-d3-k1/,https://www.nasevitaminy.cz/maxi-vita-calcium-20-eff-tbl,,https://www.nasevitaminy.cz/maxi-vita-calcium-20-eff-tbl
ready,93,keep_in_main_pim,Maxi Vita Vápník-hořčík-zinek,Maxi Vita,Maxi Vita,42300004,8595011107517,71.9,Hořčík a minerály,Hořčík a minerály,medium,Neurčeno,Tablety,medium,"hořčík, zinek, vápník",,,,"form_inferred_needs_check, missing_info_available_on_other_source",https://www.vitar.cz/maxivita-vapnik-horcik-zinek/,https://www.nasevitaminy.cz/maxi-vita-vapnik-horcik-zinek,form,https://www.nasevitaminy.cz/maxi-vita-vapnik-horcik-zinek
